timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
51367723099,-3,0,-2,3,2,-2,-1,-4
51367723099,-1,-2,-2,-2,1,-1,-2,-2
51367724686,0,-2,-2,-10,-13,-5,-2,0
51367724686,-4,-2,0,8,6,2,-3,-3
51367738205,-1,0,-3,-4,-2,-1,0,-3
51367738205,0,-1,-2,-1,-1,-2,-3,0
51367739792,0,0,-3,-2,2,0,0,-2
51367739792,-4,-4,0,-4,-2,-2,0,-2
51367760703,0,0,1,1,0,-1,-2,0
51367760703,1,-1,-3,-6,-12,-2,-3,-3
51367762192,0,-1,-1,6,7,1,0,0
51367762192,-2,0,-1,-6,-9,-3,0,-1
51367783161,-2,-2,0,3,2,0,-2,-2
51367783161,0,-2,-2,-3,-1,0,0,0
51367784696,1,-1,2,-3,-1,-1,-1,1
51367784696,-1,-3,-1,1,1,0,-2,-1
51367798058,0,-2,0,-1,1,-1,1,-1
51367798058,-1,-1,-1,1,0,-1,-1,-1
51367799668,-2,-2,-1,3,3,-1,0,1
51367799668,-1,2,-4,-4,-7,-4,-2,-2
51367828243,-1,-1,-2,-1,-1,0,2,0
51367828243,-1,0,-1,-1,-3,1,-1,-2
51367829691,-1,0,-2,-2,1,-1,-1,-2
51367829691,-1,-1,1,9,6,2,-1,-1
51367850790,-1,0,-2,-7,-7,-1,1,0
51367850790,-1,0,-1,5,1,-1,0,-2
51367852285,-2,-2,-3,-9,-2,-1,-1,-1
51367852285,0,-3,0,9,3,-1,0,-1
51367857442,0,-2,-1,1,-2,-1,-2,-2
51367857442,-2,-1,0,0,1,0,-1,-2
51367864425,0,1,1,-1,-5,-1,-1,-1
51367864425,2,0,-3,-8,0,1,0,-1
51367880778,0,1,1,3,1,0,-1,0
51367880778,-2,0,-2,-7,-7,-1,-2,-2
51367882217,0,-1,-2,0,-1,-3,-1,-1
51367882217,1,-2,0,-1,0,-1,-1,-2
51367903072,-3,-3,1,0,-2,0,0,0
51367903072,-2,0,-1,-4,-2,0,0,2
51367904660,2,1,-1,-2,-3,-4,-1,-3
51367904660,-2,0,-1,-2,1,1,-1,0
