timestamp,x,y,z
51367723929,0.625,1.3125,0.75
51367738845,1.0625,1.1875,0.3125
51367761383,0.8125,1,0
51367783855,0.8125,0.3125,0
51367798908,0.4375,0.0625,0.0625
51367828952,0.1875,-0.1875,-0.0625
51367851468,-0.4375,0,0.0625
51367858226,-0.0625,0,0.25
51367881469,0.1875,0.125,0.1875
51367903862,0.25,0.0625,0.1875
51367926362,0.25,-0.0625,0.0625
51367941465,-0.3125,0.25,-0.1875
51367963897,-0.1875,0.6875,-0.1875
51367978246,0.3125,0.5625,0.125
51368001851,0.1875,0.25,0.0625
51368023937,0,-0.3125,-0.1875
51368038284,0.375,-0.1875,0
51368061409,0.125,0,0.3125
51368083951,-0.25,0.1875,0.5
51368106395,-0.25,0.125,0.5625
51368128957,0.1875,-0.1875,0.875
51368143925,0.6875,-0.375,0.875
51368158251,0.5,-0.25,0.75
51368181411,0.1875,0,0.5625
51368204029,0.3125,0.0625,0.3125
51368225060,1.4375,0.0625,0.5625
51368241441,2.8125,0,0.6875
51368263966,2.5625,0.0625,0.625
51368285201,2.5625,-0.4375,0.8125
51368301479,2.6875,-0.8125,0.8125
51368331336,2.4375,-0.25,0.5625
51368352621,2.9375,0.25,1.125
51368361489,3,0.8125,1.875
51368384407,1.5,1.0625,2.1875
51368406460,0.8125,0.25,2
51368428885,2.125,-1.3125,1.875
51368443978,4.4375,-2.0625,1.5
51368465002,5.8125,-2.25,1.6875
51368481372,5.875,-2.0625,2.0625
51368503870,4.1875,-1.5,1.75
51368532443,5.1875,-0.3125,1.4375
51368541393,8.5625,0.6875,1.4375
51368564417,10.25,1.3125,1.75
51368585125,9.375,1.3125,2.0625
51368609053,10.0625,1.75,3
51368623912,13,2.4375,3.9375
51368646421,15.4375,2.375,3.875
51368661456,15.375,1.625,4.75
51368683904,13.1875,0.4375,5.9375
51368706436,12.1875,-0.6875,7.125
51368721474,11.375,-2.6875,7.875
51368743992,10,-4.25,8
51368766411,9.625,-4.75,9.375
51368780794,9.25,-4,12.125
51368811413,10.5,-2.6875,14.5
51368827213,11.6875,-0.9375,15.8125
51368840869,12.5,1.125,16.375
51368864027,12.1875,2.625,16.5625
51368886440,13.25,3.1875,15.6875
51368908981,14.875,4.6875,15.25
51368923881,16.25,6.375,14.625
51368946472,16.9375,5.9375,13.6875
51368967660,16.625,6.875,12.9375
51368983990,15.9375,7.75,12.25
51369013949,13.0625,7.8125,12.375
51369035196,7.8125,5.9375,13.625
51369044030,5.875,4.8125,14.5625
51369066439,0.9375,4.875,14.1875
51369089025,-3.625,3.875,14.1875
51369111406,-4.4375,3.125,14.625
51369126518,-3.625,3.1875,13.0625
51369147570,-2.4375,3,12.1875
51369164006,-0.0625,3.3125,10.25
51369186447,1.4375,4.1875,8.1875
51369215199,2.25,3.5,6.3125
51369224028,2.5625,3.0625,4.6875
51369246499,1.875,3.1875,3.125
51369267591,0.5,2.25,2.6875
51369283977,-2.625,1,1.75
51369313994,-4.6875,0,0.375
51369327716,-4.75,-0.8125,-0.875
51369344005,-3.375,-1.125,-0.875
51369349506,-1.6875,-1.3125,-1.5625
51369371807,-0.75,-1.25,-1.75
51369394367,-1.75,-0.875,-1.75
51369409316,-4.375,-0.75,-1.4375
51369439494,-5.5,-1.4375,-2.375
51369463168,-6,-1.625,-2.5625
51369469400,-4.8125,-2.3125,-2.4375
51369493286,-4.125,-2.875,-2.1875
51369514409,-4.75,-2.8125,-1.1875
51369529347,-5.8125,-3.375,-0.625
51369551971,-5.6875,-3.25,-0.5
51369574309,-5.25,-3.3125,-0.6875
51369592229,-4.4375,-3.375,-1.0625
51369611851,-3.75,-3.0625,-1.3125
51369643227,-4.1875,-3.125,-1.5
51369649344,-4.3125,-2.625,-1.75
51369671815,-3.125,-2.5,-2
51369703151,-2.625,-2.3125,-2.0625
51369716826,-2.125,-2.375,-1.875
51369739311,-1.625,-1.9375,-1.75
51369754381,-1.75,-1.625,-2
51369770701,-1.3125,-1.3125,-1.875
51369794721,-1.1875,-0.8125,-1.75
51369817239,-0.6875,-0.625,-1.625
51369830762,-0.25,-0.3125,-1.8125
51369851802,-0.0625,-0.3125,-2.0625
51369874400,-0.3125,-0.625,-2
51369890766,-0.1875,-0.75,-1.6875
51369919499,-0.4375,-1.0625,-1.1875
51369942479,-1.0625,-1.1875,-0.8125
51369950835,-1.0625,-1.375,-0.5625
51369971847,-0.6875,-1.0625,-0.25
51369995745,0,-1,0.375
51370018273,0.5,-0.8125,0.5625
51370031863,-0.25,-0.6875,0.375
51370054478,-0.1875,-0.6875,0.125
51370072264,0.75,-0.375,-0.0625
51370094705,1.25,-0.125,-0.125
51370122551,0.6875,0.1875,0.3125
51370130784,0.25,0.5,0.875
51370151835,0.0625,0.625,0.875
51370174387,-0.125,0.625,0.6875
51370199747,0.1875,0.25,0.3125
51370219523,0.75,0.25,0.125
51370234369,1.625,0.0625,0.0625
51370250713,1.375,0.0625,0.3125
51370274802,0.9375,0.25,0.1875
51370295762,0.3125,0.5,0.375
51370312348,-0.0625,0.1875,0.5625
51370331875,-0.1875,0.3125,0.4375
51370354361,-0.0625,0,0.375
51370376862,0.5625,0,0.0625
51370399375,1.25,0.0625,0.125
51370421941,0.75,-0.125,0.3125
51370436856,0,-0.3125,0.0625
51370451880,-0.75,-0.3125,-0.3125
51370477267,-0.4375,-0.4375,-0.5625
51370499664,0.5625,-0.1875,-0.75
51370511847,0.5,0.25,-0.625
51370534369,0.125,0.125,-0.25
51370556885,-0.5625,0.125,-0.3125
51370574821,-0.6875,-0.3125,-0.4375
51370601789,-0.375,-0.5,-0.5
51370625841,-0.125,-1,-0.6875
51370631843,-0.4375,-0.9375,-0.625
51370654365,-1.375,-1,-0.5
51370679850,-0.625,-1.125,-0.625
51370699324,-0.375,-1,-0.5
51370714370,-0.75,-1.4375,-0.375
51370736863,-1,-1.4375,-0.75
51370754714,-1.9375,-1.625,-0.9375
51370777333,-1.1875,-1.875,-1.1875
51370796859,-1,-2.25,-1.75
51370811936,-0.75,-2.25,-2
51370834379,-0.125,-1.9375,-1.9375
51370856856,0.125,-1.25,-1.6875
51370871897,-0.5625,-0.375,-1.5
51370901832,-0.6875,0.375,-1.25
51370916861,0.375,1.1875,-0.75
51370931886,2,2,-0.1875
